Latitude,Longitude,n,location_id
41.654457771,-87.613146654,0.0,73
41.654458277,-87.607555331,0.0,74
41.654508349,-87.608531787,0.0,75
41.654516575,-87.549566714,0.0,76
41.654518143,-87.613145982,0.0,77
41.654546243,-87.539891331,0.0,78
41.654576797,-87.605900022,0.0,79
41.654581609,-87.596744537,0.0,80
41.65460159,-87.547146926,1.0986122886681098,81
41.65464198,-87.596743849,0.6931471805599453,82
41.654646133,-87.616939198,0.0,83
41.65466998,-87.543512464,0.0,84
41.654675955,-87.605090212,0.6931471805599453,85
41.654711652,-87.605093469,0.0,86
41.65471964,-87.549564253,0.0,87
41.654728117,-87.605093283,0.0,88
41.654788534,-87.605099921,0.0,89
41.654798576,-87.60755517,0.0,90
41.654823117,-87.596745444,0.0,91
41.654835817,-87.594875418,0.0,92
41.654851673,-87.605102869,0.0,93
41.654862306,-87.547147414,0.0,94
41.655021562,-87.550779127,0.0,95
41.655137743,-87.594882947,0.6931471805599453,96
41.655145413,-87.605117857,0.0,97
41.655276697,-87.597292828,0.0,98
41.655366247,-87.613162149,0.6931471805599453,99
41.65548171,-87.602325685,0.0,100
41.655616114,-87.614059554,0.6931471805599453,101
41.655616434,-87.614110781,0.0,102
41.655619426,-87.616346583,0.0,103
41.655660527,-87.59680543,0.0,104
41.655682504,-87.596808838,0.0,105
41.655781176,-87.596361278,0.0,106
41.655794169,-87.596247691,0.0,107
41.655804256,-87.60428343,0.0,108
41.65580628,-87.604169969,0.0,109
41.655809957,-87.603884501,0.0,110
41.65581886,-87.601399725,0.0,111
41.655903283,-87.598716488,0.0,112
41.656023123,-87.617271575,0.0,113
41.65633767,-87.614465032,0.0,114
41.656343489,-87.602334237,0.0,115
41.65641813,-87.543513062,0.0,116
41.656449608,-87.61568967,0.6931471805599453,117
41.656469322,-87.614891712,0.0,118
41.656497161,-87.602332499,0.0,119
41.656514556,-87.608545887,0.6931471805599453,120
41.656527347,-87.602332158,0.0,121
41.656541779,-87.547137967,0.0,122
41.656565995,-87.607564602,0.0,123
41.65661587,-87.547137066,0.6931471805599453,124
41.656616089,-87.608544749,0.0,125
41.65662616,-87.6023347,0.0,126
41.65663988,-87.602334544,0.0,127
41.656648271,-87.610604609,0.0,128
41.656683249,-87.615749285,0.6931471805599453,129
41.6567043,-87.605133231,0.0,130
41.656724949,-87.602333583,0.0,131
41.656731319,-87.548368867,0.0,132
41.656738592,-87.61494361,0.0,133
41.656787031,-87.597440303,0.0,134
41.656796297,-87.602332776,0.0,135
41.656796527,-87.607565673,0.0,136
41.656812238,-87.609622064,0.0,137
41.656818764,-87.614159613,0.6931471805599453,138
41.656823738,-87.602332465,0.0,139
41.656843852,-87.54837116,0.0,140
41.656856728,-87.537473405,0.0,141
41.656889408,-87.597570875,0.0,142
41.656911096,-87.609631935,0.0,143
41.656937576,-87.605134262,0.0,144
41.656972482,-87.59768703,0.0,145
41.656974917,-87.59935568,0.0,146
41.657010614,-87.599358934,0.0,147
41.657061866,-87.616612357,0.0,148
41.657196684,-87.601856186,0.0,149
41.65719701,-87.601907414,0.0,150
41.657198985,-87.601786632,0.6931471805599453,151
41.65720906,-87.602939227,0.0,152
41.657209153,-87.602953863,0.0,153
41.657212688,-87.603078243,0.0,154
41.657244543,-87.600322358,0.0,155
41.657254306,-87.600131959,0.0,156
41.657256519,-87.603930387,0.0,157
41.65727939,-87.599762075,0.0,158
41.657281026,-87.604332644,0.0,159
41.657284072,-87.604380182,1.0986122886681098,160
41.657299128,-87.615932737,0.0,161
