Latitude,Longitude,n,location_id
41.655638574,-87.59680568,1,105
41.655660527,-87.59680543,1,106
41.655791542,-87.596266018,1,107
41.655804256,-87.60428343,1,108
41.655821441,-87.601374081,1,109
41.655823533,-87.601271596,1,110
41.655825315,-87.595969228,1,111
41.655833055,-87.595892294,1,112
41.655867531,-87.599993996,1,113
41.656298119,-87.605130487,1,114
41.656299559,-87.602331074,1,115
41.656305112,-87.537472878,1,116
41.65631328,-87.602330919,1,117
41.656316254,-87.607563747,1,118
41.65632483,-87.543514202,1,119
41.65633767,-87.614465032,2,120
41.656356063,-87.609524709,1,121
41.65637093,-87.602333926,1,122
41.656412093,-87.602333461,2,123
41.656413759,-87.609535041,2,124
41.656449608,-87.61568967,1,125
41.656469322,-87.614891712,2,126
41.656478534,-87.544716249,1,127
41.656489135,-87.607561806,1,128
41.656519617,-87.545905036,1,129
41.656527347,-87.602332158,1,130
41.656555718,-87.608545425,1,131
41.656598718,-87.60233501,1,132
41.656604445,-87.614118085,1,133
41.656635286,-87.554422608,2,134
41.656652846,-87.609587255,1,135
41.656659397,-87.614128452,2,136
41.656659887,-87.597299035,1,137
41.656665134,-87.544713972,1,138
41.656667322,-87.602334234,1,139
41.656700807,-87.544713537,1,140
41.656717889,-87.597356925,1,141
41.656738592,-87.61494361,1,142
41.656750527,-87.548368634,1,143
41.656758434,-87.544712834,1,144
41.656774571,-87.610614175,1,145
41.656782616,-87.599324929,1,146
41.65679138,-87.54351582,1,147
41.65679636,-87.599328432,1,148
41.656816459,-87.608549821,1,149
41.656818764,-87.614159613,3,150
41.656837459,-87.60233231,1,151
41.656860248,-87.553197668,2,152
41.656876586,-87.547137555,1,153
41.65688227,-87.548370693,1,154
41.656937576,-87.605134262,1,155
41.657212106,-87.602986765,1,156
41.657212595,-87.603063606,1,157
41.657212688,-87.603078243,2,158
41.657215711,-87.603122121,1,159
41.657262797,-87.604054736,1,160
41.657264092,-87.599945218,1,161
41.657277934,-87.604277788,2,162
41.657297496,-87.598729919,1,163
41.657321469,-87.606385112,1,164
41.657322315,-87.606085032,1,165
41.657322511,-87.606549773,1,166
41.657322547,-87.606121623,4,167
41.657322778,-87.606158214,1,168
41.657322883,-87.605741042,1,169
41.657322894,-87.60617651,1,170
41.657323276,-87.605803247,1,171
41.65732367,-87.605865452,1,172
41.657334836,-87.547530855,1,173
41.657464012,-87.597732668,1,174
41.657507589,-87.613720139,1,175
41.657525882,-87.613573559,2,176
41.657533656,-87.613500284,1,177
41.657554358,-87.597698705,1,178
41.657589938,-87.597683662,1,179
41.657667587,-87.603406111,1,180
41.657676054,-87.605173516,1,181
41.657680049,-87.605371079,1,182
41.65769335,-87.595834478,2,183
41.657754236,-87.597626901,1,184
41.657791074,-87.603404717,2,185
41.657906256,-87.600373405,1,186
41.657910804,-87.601086943,1,187
41.657911061,-87.601127194,1,188
41.65791184,-87.603407012,1,189
41.657917246,-87.596084425,1,190
41.657947514,-87.60340661,1,191
41.657986452,-87.604785778,1,192
41.658011951,-87.597587374,2,193
41.658071001,-87.603405215,1,194
41.658114918,-87.613852437,1,195
41.658124414,-87.597578775,1,196
41.658138493,-87.613672862,1,197
41.658139142,-87.617292048,1,198
41.658148077,-87.635702639,2,199
41.658191295,-87.555633432,1,200
41.658246649,-87.603406891,1,201
41.65826567,-87.615138887,1,202
41.658265858,-87.603406674,1,203
41.658284595,-87.55563231,1,204
41.658301412,-87.615149469,1,205
41.658301888,-87.637988141,1,206
41.658339387,-87.605480757,1,207
41.658399829,-87.556845863,1,208
41.658435546,-87.555634153,1,209
41.658453336,-87.643995358,2,210
41.658478468,-87.640416129,1,211
41.658487921,-87.64198594,1,212
41.658613246,-87.605389846,1,213
41.658668383,-87.545897158,1,214
41.658675854,-87.602714063,1,215
41.658675993,-87.602736018,1,216
41.658721279,-87.599076027,1,217
41.658750706,-87.545896155,1,218
41.659107176,-87.616736059,1,219
41.659157901,-87.642502084,1,220
41.659168548,-87.549210231,1,221
41.659183942,-87.553894205,1,222
41.659190917,-87.555328645,1,223
41.659192854,-87.557238882,1,224
41.660002506,-87.640114346,1,225
41.660073072,-87.637712918,1,226
41.66008596,-87.635312108,2,227
41.660118912,-87.635315412,1,228
41.660147991,-87.640120105,1,229
41.660161712,-87.640119958,1,230
41.66026126,-87.646186458,1,231
41.660275352,-87.635317382,1,232
41.66036189,-87.549547072,1,233
41.660493632,-87.549549134,1,234
41.660824075,-87.642561128,2,235
41.661003407,-87.645464944,1,236
41.661145377,-87.638952968,2,237
41.661170217,-87.635351634,2,238
41.66118519,-87.644657892,1,239
41.661233333,-87.635350952,1,240
41.66158213,-87.643120271,1,241
41.662178225,-87.645046216,1,242
41.662252915,-87.640576947,1,243
41.662283069,-87.553198089,1,244
41.662388032,-87.636597415,1,245
41.662464635,-87.643839126,1,246
41.662612865,-87.643844864,1,247
41.662944028,-87.641411276,3,248
41.663287538,-87.633330549,1,249
41.663403306,-87.625793875,2,250
41.66413534,-87.622122413,1,251
41.664294511,-87.641455374,3,252
41.664480359,-87.639052549,1,253
41.664587319,-87.628222009,2,254
41.664592914,-87.63905866,1,255
41.664625759,-87.628225249,1,256
41.664672362,-87.556287407,1,257
41.664750251,-87.630628395,2,258
41.66480242,-87.62215533,1,259
41.665175915,-87.634276295,1,260
41.665226392,-87.625484788,1,261
41.665418034,-87.622741453,1,262
41.665428274,-87.621292035,1,263
41.665460908,-87.558049296,1,264
41.665814864,-87.558853882,1,265
41.665947073,-87.637894906,1,266
41.666058697,-87.639108791,1,267
41.666059523,-87.627082357,1,268
41.666097115,-87.639108378,1,269
41.666157472,-87.628285395,1,270
41.666238944,-87.629488615,1,271
41.666301195,-87.630692048,1,272
41.666343005,-87.621874862,2,273
41.666345439,-87.623155805,1,274
41.666346522,-87.621556411,1,275
41.666408226,-87.637911902,1,276
41.666446667,-87.637915149,1,277
41.666467666,-87.639119037,1,278
41.666563779,-87.631896969,1,279
41.666611256,-87.627101947,1,280
41.666664063,-87.552541314,1,281
41.666730582,-87.636309041,1,282
41.666875438,-87.620108568,1,283
41.666959635,-87.636518848,1,284
41.666968538,-87.635724543,1,285
41.667100276,-87.623623304,1,286
41.667102546,-87.62354642,1,287
41.667139924,-87.621159716,1,288
41.667768777,-87.639167279,1,289
41.667808973,-87.640370986,1,290
41.667832017,-87.635561501,1,291
41.667867691,-87.635561116,1,292
41.667873146,-87.631948636,1,293
41.667899677,-87.629554707,1,294
41.668095128,-87.624739661,2,295
41.668140873,-87.625928664,1,296
41.66819542,-87.622315629,1,297
41.668251883,-87.639184049,1,298
41.668298523,-87.628360855,1,299
41.668370018,-87.631972523,1,300
41.669592365,-87.638027698,1,301
41.669610723,-87.635622815,1,302
41.669622639,-87.634422174,1,303
41.669647271,-87.638030767,7,304
41.669717665,-87.639234185,1,305
41.669720424,-87.628414883,1,306
41.669724107,-87.638029941,1,307
41.669736874,-87.639233978,1,308
41.669739744,-87.635628742,1,309
41.669891568,-87.638039119,2,310
41.669899703,-87.62721973,1,311
41.669949904,-87.626011343,1,312
41.670033157,-87.624824552,1,313
41.670052541,-87.639245228,2,314
41.670064293,-87.641649804,1,315
41.670083606,-87.627225041,1,316
41.670548082,-87.640868673,2,317
41.670569775,-87.638551563,1,318
41.670596065,-87.636095316,3,319
41.670702113,-87.625607811,1,320
41.67125794,-87.652657869,1,321
41.671292894,-87.650223471,1,322
41.671293614,-87.652657494,2,323
41.671297402,-87.622457184,1,324
41.671313211,-87.645347874,1,325
41.671347963,-87.64657001,1,326
41.671348907,-87.645351154,1,327
41.671350522,-87.650222861,3,328
41.671382767,-87.644131946,1,329
41.671386559,-87.639289461,1,330
41.6713872,-87.649007287,1,331
41.671402894,-87.642912884,1,332
41.671405427,-87.650225941,1,333
41.671442105,-87.649010365,1,334
41.671453418,-87.638091856,2,335
41.671461741,-87.65510074,1,336
41.671477008,-87.642915753,1,337
41.671481962,-87.653878018,1,338
41.671499132,-87.628476002,1,339
41.67150655,-87.633281772,2,340
41.671517658,-87.653881303,1,341
41.671518322,-87.656318996,2,342
41.671525588,-87.640499496,1,343
41.671530276,-87.638094689,1,344
41.671534447,-87.650231897,1,345
